RPM,MAP,Spark Knock R,Spark Knock F,
3317,32.81,0,0,
3305,32.81,0,0,
3318,32.44,0,0,
3308,32.81,0,0,
3316,32.44,0,0,
3313,32.44,0,0,
3314,32.81,0,0,
3314,32.81,0,0,
3311,32.07,0,0,
3310,30.96,0,0,
3305,30.96,0,0,
3310,30.6,0,0,
3301,30.6,0,0,
3314,30.23,0,0,
3299,30.23,0,0,
3303,30.6,0,0,
3313,30.6,0,0,
3294,30.6,0,0,
3307,30.23,0,0,
3300,29.86,0,0,
3307,29.86,0,0,
3303,29.86,0,0,
3298,29.86,0,0,
3301,29.86,0,0,
3289,30.23,0,0,
3298,29.86,0,0,
3294,30.23,0,0,
3293,30.23,0,0,
3284,29.86,0,0,
3287,29.86,0,0,
3277,29.49,0,0,
3286,29.49,0,0,
3271,30.23,0,0,
3276,30.96,0,0,
3282,30.96,0,0,
3271,30.96,0,0,
3272,30.96,0,0,
3264,31.33,0,0,
3264,31.33,0,0,
3275,31.7,0,0,
3271,32.44,0,0,
3273,33.55,0,0,
3263,33.55,0,0,
3266,33.92,0,0,
3272,33.92,0,0,
3261,34.28,0,0,
3274,34.65,0,0,
3265,35.76,0,0,
3266,36.13,0,0,
3276,36.13,0,0,
3273,37.97,0,0,
3284,39.45,0,0,
3281,40.56,0,0,
3288,40.93,0,0,
3294,40.93,0,0,
3301,40.93,0,0,
3301,43.51,0,0,
3314,43.51,0,0,
3314,43.88,0,0,
3327,43.88,0,0,
3328,43.51,0,0,
3340,43.88,0,0,
3342,43.51,0,0,
3351,43.14,0,0,
3353,43.14,0,0,
3362,43.14,0,0,
3366,43.14,0,0,
3373,43.14,0,0,
3382,42.77,0,0,
3381,42.77,0,0,
3395,42.4,0,0,
3394,42.4,0,0,
3407,42.03,0,0,
3399,42.03,0,0,
3409,40.19,0,0,
3404,39.82,0,0,
3411,39.08,0,0,
3410,38.34,0,0,
3417,37.24,0,0,
3416,37.24,0,0,
3419,37.24,0,0,
3429,36.87,0,0,
3417,36.87,0,0,
3428,36.87,0,0,
3429,36.87,0,0,
3434,35.76,0,0,
3419,33.92,0,0,
3425,33.18,0,0,
3429,32.81,0,0,
3432,32.81,0,0,
3423,33.18,0,0,
3415,32.81,0,0,
3431,32.81,0,0,
3415,32.81,0,0,
3421,32.44,0,0,
3423,32.44,0,0,
3418,32.44,0,0,
3421,32.07,0,0,
3419,30.6,0,0,
3414,29.12,0,0,
3415,29.12,0,0,
3406,29.12,0,0,
3408,29.12,0,0,
3392,29.12,0,0,
3404,29.12,0,0,
3407,29.12,0,0,
3399,29.12,0,0,
3402,29.12,0,0,
3394,29.12,0,0,
3405,29.12,0,0,
3386,29.49,0,0,
3387,29.12,0,0,
3394,29.12,0,0,
3382,29.12,0,0,
3396,29.49,0,0,
3375,29.49,0,0,
3394,29.86,0,0,
3381,29.86,0,0,
3382,30.23,0,0,
3388,30.6,0,0,
3373,31.33,0,0,
3387,30.96,0,0,
3382,30.96,0,0,
3379,31.33,0,0,
3383,31.33,0,0,
3381,31.7,0,0,
3382,31.7,0,0,
3381,31.33,0,0,
3382,31.7,0,0,
3391,32.07,0,0,
3381,33.55,0,0,
3389,34.28,0,0,
